,Reaction,EC value,Method,Evaluation,Reaction.1,Reaction formula in CID format,order,order id,Reaction formula in python dictionary,T(K),pH,Ionic strength,pMg,K',electrolytes,Buffer/reagents/solute added,Reference_id,media conditions,exclude,reaction_id
10,branched-chain-amino-acid transferase,2.6.1.42,calorimetry and chromatography,A,L-leucine(aq) + 2-oxoglutarate(aq) = 2-oxoisocaproate(aq) + L-glutamate(aq),CHB_15603 + CHB_16810 = CHB_29985 + CHB_48430,11,Keq_11,"{'CHB_29985': 1, 'CHB_15603': -1, 'CHB_48430': 1, 'CHB_16810': -1}",298.15,7.15,0.3,,2.16,,phosphate,00TEW/GOL,mol/kg;IS=0.3;(K)2(HPO4)1=0.1006;(H)3(PO4)1=0.0199;pyridoxal 5-phosphate=0.000232;L-leucine=0.000931;2-oxoglutarate=0.002118;2-oxoisocaproate=0.002063;L-glutamate=0.002063,no,rxn_5
11,branched-chain-amino-acid transferase,2.6.1.42,calorimetry and chromatography,A,L-leucine(aq) + 2-oxoglutarate(aq) = 2-oxoisocaproate(aq) + L-glutamate(aq),CHB_15603 + CHB_16810 = CHB_29985 + CHB_48430,12,Keq_12,"{'CHB_29985': 1, 'CHB_15603': -1, 'CHB_48430': 1, 'CHB_16810': -1}",298.15,7.23,0.31,,2.56,,phosphate,00TEW/GOL,mol/kg;IS=0.31;(K)2(HPO4)1=0.1006;(H)3(PO4)1=0.0199;pyridoxal 5-phosphate=0.000232;L-leucine=0.001753;2-oxoglutarate=0.001753;2-oxoisocaproate=0.003505;L-glutamate=0.002238,no,rxn_5
12,branched-chain-amino-acid transferase,2.6.1.42,calorimetry and chromatography,A,"L-tert-leucine(aq) + 2-oxoglutarate(aq) = 3,3-dimethyl-2-oxobutanoate(aq) + L-glutamate(aq)",CHB_16810 + PBC_164608 = CHB_29985 + CHS_15334833,13,Keq_13,"{'CHB_16810': -1, 'CHB_29985': 1, 'PBC_164608': -1, 'CHS_15334833': 1}",298.15,7.15,0.31,,6.23,,phosphate,00TEW/GOL,"mol/kg;IS=0.31;(K)2(HPO4)1=0.1012;(H)3(PO4)1=0.0218;pyridoxal 5-phosphate=0.000348;L-tert-leucine=0.001857;2-oxoglutarate=0.001326;3,3-dimethyl-2-oxobutanoate=0.003756;L-glutamate=0.003756",no,rxn_6
13,branched-chain-amino-acid transferase,2.6.1.42,calorimetry and chromatography,A,"L-tert-leucine(aq) + 2-oxoglutarate(aq) = 3,3-dimethyl-2-oxobutanoate(aq) + L-glutamate(aq)",CHB_16810 + PBC_164608 = CHB_29985 + CHS_15334833,14,Keq_14,"{'CHB_16810': -1, 'CHB_29985': 1, 'PBC_164608': -1, 'CHS_15334833': 1}",298.15,7.23,0.31,,5.93,,phosphate,00TEW/GOL,"mol/kg;IS=0.31;(K)2(HPO4)1=0.1012;(H)3(PO4)1=0.0218;pyridoxal 5-phosphate=0.000348;L-tert-leucine=0.001341;2-oxoglutarate=0.001341;3,3-dimethyl-2-oxobutanoate=0.00277;L-glutamate=0.003846",no,rxn_6
14,enoyl-CoA hydratase,4.2.1.17,NMR,A,(3S)-hydroxybutanoyl-coenzyme A(aq) = trans-but-2-enoyl-coenzyme A(aq) + H2O(l),CHB_15453 = CHB_15377 + CHB_15473,15,Keq_15,"{'CHB_15473': 1, 'CHB_15453': -1, 'CHB_15377': 1}",298.15,7.4,,,0.13333,,phosphate (0.020 mol dm-3),00WU/FEN,mol/L;phosphate buffer=0.02,no,rxn_7
15,2-dehydropantoate 2-reductase,1.1.1.169,spectrophotometry,B,(R)-pantoate(aq) + NADP(aq) = 2-dehydropantoate(aq) + NADPH(aq),CHB_15980 + CHB_18009 = CHB_16474 + CHB_17094,16,Keq_16,"{'CHB_16474': 1, 'CHB_18009': -1, 'CHB_15980': -1, 'CHB_17094': 1}",298.15,7.5,,,0.00147929,,Hepes (0.10 mol dm-3),00ZHE/BLA,mol/L;HEPES=0.1;(R)-pantoate=0.0100824,no,rxn_8
16,trehalose-6-phosphate phosphorylase,2.4.1.216,chromatography,B,",-trehalose 6-phosphate(aq) + orthophosphate(aq) = D-glucose 1-phosphate(aq) + D-glucose 6-phosphate(aq)",CHB_18283 + CHB_26078 = CHB_16077 + CHB_4170,17,Keq_17,"{'CHB_16077': 1, 'CHB_26078': -1, 'CHB_4170': 1, 'CHB_18283': -1}",308.15,6.3,,,0.026,,citrate (0.050 mol dm-3) or triethanolamine (0.050 mol dm-3),01AND/LEV,mol/L;citrate buffer=0.05,no,rxn_9
17,trehalose-6-phosphate phosphorylase,2.4.1.216,chromatography,B,",-trehalose 6-phosphate(aq) + orthophosphate(aq) = D-glucose 1-phosphate(aq) + D-glucose 6-phosphate(aq)",CHB_18283 + CHB_26078 = CHB_16077 + CHB_4170,18,Keq_18,"{'CHB_16077': 1, 'CHB_26078': -1, 'CHB_4170': 1, 'CHB_18283': -1}",308.15,7.0,,,0.032,,citrate (0.050 mol dm-3) or triethanolamine (0.050 mol dm-3),01AND/LEV,mol/L;triethanolamine buffer=0.05,no,rxn_9
18,deoxyribose-phosphate aldolase,4.1.2.4,,C,2-deoxy-D-ribose 5-phosphate(aq) = D-glyceraldehyde 3-phosphate(aq) + acetaldehyde(aq),MAN_10201 = CHB_15343 + CHB_29052,19,Keq_19,"{'CHB_29052': 1, 'CHB_15343': 1, 'MAN_10201': -1}",298.15,7.0,,,0.00024,,,01TIS/IHL,,no,rxn_10
19,fructose-bisphosphate aldolase,4.1.2.13,,C,"D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)",CHB_40595 = CHB_16108 + CHB_29052,20,Keq_20,"{'CHB_29052': 1, 'CHB_16108': 1, 'CHB_40595': -1}",298.15,,,,0.0001,,,01TIS/IHL,,?,rxn_11
20,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,21,Keq_21,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",298.15,7.0,0.25,3.0,2.65e-05,,phosphate,02DOB/HIT,mol/L;IS=0.25;Mg2+_free=0.001,no,rxn_12
21,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,22,Keq_22,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",298.15,7.8,0.25,3.0,0.000111473,,phosphate,02DOB/HIT,mol/L;IS=0.25;Mg2+_free=0.001,no,rxn_12
22,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,23,Keq_23,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",298.15,7.4,0.25,3.0,6.46359e-05,,phosphate,02DOB/HIT,mol/L;IS=0.25;Mg2+_free=0.001,no,rxn_12
23,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,24,Keq_24,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",298.15,7.0,0.25,3.0,2.78684e-05,,phosphate,02DOB/HIT,mol/L;IS=0.25;Mg2+_free=0.001,no,rxn_12
24,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,25,Keq_25,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",298.15,6.7,0.25,3.0,1.59578e-05,,phosphate,02DOB/HIT,mol/L;IS=0.25;Mg2+_free=0.001,no,rxn_12
25,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,26,Keq_26,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",298.15,6.4,0.25,3.0,1.03522e-05,,phosphate,02DOB/HIT,mol/L;IS=0.25;Mg2+_free=0.001,no,rxn_12
26,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,27,Keq_27,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",278.15,7.0,0.25,3.0,2.247e-05,,phosphate,02DOB/HIT,mol/L;IS=0.25;Mg2+_free=0.001,no,rxn_12
27,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,28,Keq_28,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",288.15,7.0,0.25,3.0,2.458e-05,,phosphate,02DOB/HIT,mol/L;IS=0.25;Mg2+_free=0.001,no,rxn_12
28,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,29,Keq_29,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",308.15,7.0,0.25,3.0,2.743e-05,,phosphate,02DOB/HIT,mol/L;IS=0.25;Mg2+_free=0.001,no,rxn_12
29,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,30,Keq_30,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",318.15,7.0,0.25,3.0,2.844e-05,,phosphate,02DOB/HIT,mol/L;IS=0.25;Mg2+_free=0.001,no,rxn_12
30,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,31,Keq_31,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",298.15,6.983,,3.21586,3.00532e-05,,phosphate,02DOB/HIT,,yes,rxn_12
31,pyruvate kinase,2.7.1.40,spectrophotometry and enzymatic assay,A,ATP(aq) + pyruvate(aq) = phosphoenolpyruvate(aq) + ADP(aq),CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,32,Keq_32,"{'CHB_15361': -1, 'CHB_18021': 1, 'CHB_16761': 1, 'CHB_15422': -1}",298.15,6.94333,,3.25597,2.82364e-05,,phosphate,02DOB/HIT,,yes,rxn_12
32,D-lactate dehydrogenase,1.1.1.28,spectrophotometry,C,(R)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),CHB_15846 + CHB_16004 = CHB_15361 + CHB_16908,33,Keq_33,"{'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16004': -1, 'CHB_15361': 1}",298.15,8.0,,,0.0037037,,Tris (0.20 mol dm-3) + HCl,02ISO/KOI,mol/L;Tris-HCl=0.2,no,rxn_13
33,D-lactate dehydrogenase,1.1.1.28,spectrophotometry,C,D-2-hydroxy-n-butanoate(aq) + NAD(aq) = 2-oxobutanoate(aq) + NADH(aq),CHB_1148 + CHB_15846 = CHB_16763 + CHB_16908,34,Keq_34,"{'CHB_1148': -1, 'CHB_16908': 1, 'CHB_16763': 1, 'CHB_15846': -1}",298.15,8.0,,,0.00277778,,Tris (0.20 mol dm-3) + HCl,02ISO/KOI,mol/L;Tris-HCl=0.2,no,rxn_14
34,(2-aminoethyl)phosphonate-pyruvate transferase,2.6.1.37,spectrophotometry,B,(2-aminoethyl)phosphonate(aq) + pyruvate(aq) = 2-phosphonoacetaldehyde(aq) + L-alanine(aq),CHB_15361 + CHB_15573 = CHB_16977 + CHB_18124,35,Keq_35,"{'CHB_15573': -1, 'CHB_15361': -1, 'CHB_16977': 1, 'CHB_18124': 1}",298.15,8.5,,,0.5,,Tricine (0.050 mol dm-3),02KIM/BAK,mol/L;(Mg)1(Cl)2=0.005;potassium tricine=0.05,no,rxn_15
35,cholestenol  -isomerase,5.3.3.5,chromatography and radioactivituy,C,"(3,5)-cholesta-7,24-diene-3-ol(aq) = (3,5)-cholesta-8,24-diene-3-ol(aq)",CHB_16290 = CHB_18252,36,Keq_36,"{'CHB_18252': 1, 'CHB_16290': -1}",310.15,7.5,,,14.0,,Tris (0.050 mol dm-3) + HCl,02NES/ZHO,,no,rxn_16
36,3-dehydroquinate synthase,4.6.1.3,chromatography,A,3-dehydroquinate(aq) = 3-dehydroshikimate(aq) + H2O(l),CHB_32364 = CHB_15377 + CHB_30918,37,Keq_37,"{'CHB_30918': 1, 'CHB_32364': -1, 'CHB_15377': 1}",298.15,7.5,0.065,,4.6,,Hepes + NaOH,02TEW/HAW,mol/L;Tris-HCl=0.05;(Mg)1(Cl)2=0.002;EDTA=0.001;2-mercaptoethanol=0.002,no,rxn_17
37,xylose isomerase,5.3.1.5,chromatography,C,D-arabinose(aq) = D-ribose(aq),CHB_46994 = CHB_45506,38,Keq_38,"{'CHB_45506': 1, 'CHB_46994': -1}",298.15,7.2,,,0.2125,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_18
38,xylose isomerase,5.3.1.5,chromatography,C,D-arabinose(aq) = D-ribose(aq),CHB_46994 = CHB_45506,39,Keq_39,"{'CHB_45506': 1, 'CHB_46994': -1}",313.15,7.2,,,0.297297297,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_18
39,xylose isomerase,5.3.1.5,chromatography,C,D-arabinose(aq) = D-ribose(aq),CHB_46994 = CHB_45506,40,Keq_40,"{'CHB_45506': 1, 'CHB_46994': -1}",323.15,7.2,,,0.323943662,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_18
40,xylose isomerase,5.3.1.5,chromatography,C,D-arabinose(aq) = D-ribose(aq),CHB_46994 = CHB_45506,41,Keq_41,"{'CHB_45506': 1, 'CHB_46994': -1}",333.15,7.2,,,0.373134328,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_18
41,xylose isomerase,5.3.1.5,chromatography,C,D-arabinose(aq) = D-ribose(aq),CHB_46994 = CHB_45506,42,Keq_42,"{'CHB_45506': 1, 'CHB_46994': -1}",343.15,7.2,,,0.4,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_18
42,xylose isomerase,5.3.1.5,chromatography,C,D-arabinose(aq) = D-ribulose(aq),CHB_46994 = CHB_28552,43,Keq_43,"{'CHB_28552': 1, 'CHB_46994': -1}",298.15,7.2,,,0.0375,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_19
43,xylose isomerase,5.3.1.5,chromatography,C,D-arabinose(aq) = D-ribulose(aq),CHB_46994 = CHB_28552,44,Keq_44,"{'CHB_28552': 1, 'CHB_46994': -1}",313.15,7.2,,,0.067567568,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_19
44,xylose isomerase,5.3.1.5,chromatography,C,D-arabinose(aq) = D-ribulose(aq),CHB_46994 = CHB_28552,45,Keq_45,"{'CHB_28552': 1, 'CHB_46994': -1}",323.15,7.2,,,0.084507042,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_19
45,xylose isomerase,5.3.1.5,chromatography,C,D-arabinose(aq) = D-ribulose(aq),CHB_46994 = CHB_28552,46,Keq_46,"{'CHB_28552': 1, 'CHB_46994': -1}",333.15,7.2,,,0.119402985,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_19
46,xylose isomerase,5.3.1.5,chromatography,C,D-arabinose(aq) = D-ribulose(aq),CHB_46994 = CHB_28552,47,Keq_47,"{'CHB_28552': 1, 'CHB_46994': -1}",343.15,7.2,,,0.138461538,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_19
47,xylose isomerase,5.3.1.5,chromatography,C,D-erythrose(aq) = D-erythrulose(aq),MAN_10212 = CHB_16023,48,Keq_48,"{'MAN_10212': -1, 'CHB_16023': 1}",298.15,7.2,,,2.04,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_20
48,xylose isomerase,5.3.1.5,chromatography,C,D-erythrose(aq) = D-erythrulose(aq),MAN_10212 = CHB_16023,49,Keq_49,"{'MAN_10212': -1, 'CHB_16023': 1}",313.15,7.2,,,2.304347826,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_20
49,xylose isomerase,5.3.1.5,chromatography,C,D-erythrose(aq) = D-erythrulose(aq),MAN_10212 = CHB_16023,50,Keq_50,"{'MAN_10212': -1, 'CHB_16023': 1}",323.15,7.2,,,2.727272727,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_20
50,xylose isomerase,5.3.1.5,chromatography,C,D-erythrose(aq) = D-erythrulose(aq),MAN_10212 = CHB_16023,51,Keq_51,"{'MAN_10212': -1, 'CHB_16023': 1}",333.15,7.2,,,2.666666667,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_20
51,xylose isomerase,5.3.1.5,chromatography,C,D-erythrose(aq) = D-erythrulose(aq),MAN_10212 = CHB_16023,52,Keq_52,"{'MAN_10212': -1, 'CHB_16023': 1}",343.15,7.2,,,3.0,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_20
52,xylose isomerase,5.3.1.5,chromatography,C,D-erythrose(aq) = D-threose(aq),MAN_10212 = MAN_10213,53,Keq_53,"{'MAN_10212': -1, 'MAN_10213': 1}",298.15,7.2,,,0.96,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_21
53,xylose isomerase,5.3.1.5,chromatography,C,D-erythrose(aq) = D-threose(aq),MAN_10212 = MAN_10213,54,Keq_54,"{'MAN_10212': -1, 'MAN_10213': 1}",313.15,7.2,,,1.043478261,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_21
54,xylose isomerase,5.3.1.5,chromatography,C,D-erythrose(aq) = D-threose(aq),MAN_10212 = MAN_10213,55,Keq_55,"{'MAN_10212': -1, 'MAN_10213': 1}",323.15,7.2,,,0.818181818,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_21
55,xylose isomerase,5.3.1.5,chromatography,C,D-erythrose(aq) = D-threose(aq),MAN_10212 = MAN_10213,56,Keq_56,"{'MAN_10212': -1, 'MAN_10213': 1}",333.15,7.2,,,1.095238095,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_21
56,xylose isomerase,5.3.1.5,chromatography,C,D-erythrose(aq) = D-threose(aq),MAN_10212 = MAN_10213,57,Keq_57,"{'MAN_10212': -1, 'MAN_10213': 1}",343.15,7.2,,,0.761904762,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_21
57,xylose isomerase,5.3.1.5,chromatography,C,D-glucose-aldehydo(aq) = D-fructose(aq),CHB_4167 = CHB_37721,58,Keq_58,"{'CHB_4167': -1, 'CHB_37721': 1}",333.15,7.2,,,1.025,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_22
58,xylose isomerase,5.3.1.5,chromatography,C,D-glucose-aldehydo(aq) = D-mannose(aq),CHB_4167 = CHB_4208,59,Keq_59,"{'CHB_4208': 1, 'CHB_4167': -1}",333.15,7.2,,,0.475,,maleate (0.050 mol dm-3),02VUO/PAS,mol/L;maleate buffer=0.05,no,rxn_23
